playerId,player,team,playerposition,age,exp,bye,points,lower,upper,depth chart,2017projection,Insystem,QB_status,Support_status,News_analysts
2557858,Evan Engram,NYG,TE,23,0,8,65.95489668,58.32873974,72.54877607,,,,,,
2557986,David Njoku,CLE,TE,21,0,9,65.80366084,52.12602221,81.13063733,,,,,,
2553432,Kevin White,CHI,WR,24,2,9,88.61260643,66.02453054,109.653131,,,,,,
925,Jamaal Charles,DEN,RB,31,9,5,87.70298011,60.50426481,103.1984278,2,,,,,
2555408,Roberto Aguayo,TB,K,23,1,11,103.0592218,58.61536896,122.0748289,,,,,,
2553648,Andrew Franks,MIA,K,24,2,11,102.8070696,83.2,112.0862429,,,,,,
2555223,Devontae Booker,DEN,RB,25,1,5,72.83172241,47.38773997,89.75439546,3,,,,,
2534797,Greg Zuerlein,LAR,K,30,5,9,102.0198393,84.2,112.0489484,,,,,,
2557850,DeAngelo Henderson,DEN,RB,25,0,5,21.34386364,0,34.142425,4,,,,,
497302,Brandon LaFell,CIN,WR,31,7,6,85.78471815,49.6936446,108.2871163,,,,,,
2555432,Andy Janovich,DEN,RB,24,1,5,9.001752727,0,16.97887949,4,,,,,
100029,49ers,SF,DST,NA,NA,11,137.3260852,10,101.3357878,,,,,,
2555346,Will Fuller,HOU,WR,23,1,7,84.71290227,67.42727652,98.53274169,,,,,,
2552633,Jesse James,PIT,TE,23,2,9,61.4158098,29.08305407,76.902528,,,,,,
2555295,Sterling Shepard,NYG,WR,NA,1,8,83.39426121,31.524,103.4504837,,,,,,
2557863,Zay Jones,BUF,WR,22,0,6,83.05193107,62.8122085,101.714524,,,,,,
2535724,Dominique Jones,FA,TE,30,5,NA,59.9,0,48.18119186,,,,,,
2552458,Devin Funchess,CAR,WR,23,2,11,82.59568041,69.89742203,92.51404038,,,,,,
2550263,Juwan Thompson,DEN,RB,25,3,5,0.705958573,-0.416129032,1.540348837,4,,,,,
2495470,Stevan Ridley,DEN,RB,28,6,5,0,0,0,4,,,,,
2558066,Curtis Samuel,CAR,WR,21,0,11,81.94822446,32.33026063,107.740238,,,,,,
497095,Sam Bradford,MIN,QB,30,7,9,206.7405078,184.7844,216.903372,,,,,,
2539205,Terrance Williams,DAL,WR,28,4,6,81.090805,48.88213533,94.58227295,,,,,,
497238,Jermaine Gresham,ARI,TE,29,7,8,57.93292743,45.3622085,65.16435644,,,,,,
2533046,Dwayne Allen,NE,TE,27,5,9,57.62484716,20.01024171,78.65797062,,,,,,
2555343,Josh Doctson,WAS,WR,NA,1,5,80.04873751,44.74844209,107.0609,,,,,,
382,Joe Flacco,BAL,QB,32,9,10,204.9249051,148.9561372,227.3209004,,,,,,
2533545,Bernard Pierce,DEN,RB,26,5,5,0,0,0,4,,,,,
2556379,Zac Brooks,DEN,RB,24,1,5,0,0,0,4,,,,,
2556462,Robby Anderson,NYJ,WR,24,1,11,77.99381113,51.23715526,89.50876757,,,,,,
2533444,Randy Bullock,CIN,K,28,5,6,93.33652309,13.1,123.4933889,,,,,,
2552374,Ameer Abdullah,DET,RB,24,2,7,120.7202207,88.36318244,144.6272183,1,,,,,
2540020,Theo Riddick,DET,RB,26,4,7,109.1618292,79.39318244,120.4422522,2,,,,,
2540215,Vance McDonald,SF,TE,27,4,11,54.4686421,34.84513032,77.02022191,,,,,,
2553631,Zach Zenner,DET,RB,NA,NA,7,57.14814628,32.083,77.80582437,4,,,,,
2530515,Chris Hogan,NE,WR,29,6,9,74.53230016,45.76399673,99.10169258,,,,,,
2495258,Matt Asiata,DET,RB,30,6,7,48.4688462,-1.50974802,67.29996988,3,,,,,
2558010,John Ross,CIN,WR,NA,0,6,72.80691245,4.101234568,104.880392,,,,,,
2495826,Vernon Davis,WAS,TE,33,11,5,49.67685262,28.804,64.01360439,,,,,,
2558172,Jake Elliott,CIN,K,22,0,6,86.57374177,0.442784126,117.7659,,,,,,
2556118,Dwayne Washington,DET,RB,NA,1,7,26.60697118,-1.012360415,48.30051965,4,,,,,
2552636,Michael Burton,DET,RB,25,2,7,0.462365591,0,0.78372093,4,,,,,
2540224,Mike James,DET,RB,26,4,7,0.226051136,0,0.420810398,4,,,,,
2495459,Torrey Smith,PHI,WR,28,6,10,69.35768903,25.0022085,96.8559518,,,,,,
2553737,Eli Rogers,PIT,WR,NA,NA,9,69.12651382,51.77556881,79.81931059,,,,,,
2550405,Erik Swoope,IND,TE,25,3,11,46.17938602,23.816,57.83008585,,,,,,
2495979,DeAngelo Williams,FA,RB,34,11,NA,11.15488308,0,16.79119266,,,,,,
2542022,Khiry Robinson,FA,RB,28,4,NA,5.455913978,0,8.119360465,,,,,,
2495189,Jeremy Kerley,SF,WR,29,6,11,66.39761471,46.08131101,86.95166201,,,,,,
2530690,DuJuan Harris,FA,RB,29,6,NA,4.716129032,0,7.018430233,,,,,,
2506122,Benjamin Watson,BAL,TE,37,13,10,42.46394597,13.6,64.26775899,,,,,,
2532790,Travis Benjamin,LAC,WR,28,5,8,65.37232559,52.03721101,76.11451615,,,,,,
2550380,Cody Parkey,CLE,K,25,3,9,80.502477,13.7,100.254966,,,,,,
497145,Joique Bell,FA,RB,31,7,NA,4.669892473,0,7.915581395,,,,,,
2543683,Austin Seferian-Jenkins,NYJ,TE,25,3,11,41.6544855,30.58598843,55.00913651,,,,,,
2552424,Phillip Dorsett,IND,WR,24,2,11,64.51418259,44.8245253,85.83797,,,,,,
2552652,Chris Conley,KC,WR,25,2,10,64.41593737,45.12020343,75.83638729,,,,,,
2550597,Seth Roberts,OAK,WR,NA,NA,10,64.07387563,54.947,73.77497471,,,,,,
2532887,Jermaine Kearse,SEA,WR,27,5,6,64.05622873,47.94605387,72.70806103,,,,,,
2550474,Antonio Andrews,FA,RB,25,3,NA,3.837634409,0,5.711075581,,,,,,
2555466,Tyler Boyd,CIN,WR,23,1,6,62.8939081,0,74.40908,,,,,,
2495288,Virgil Green,DEN,TE,29,6,5,39.720786,21.16534924,51.75945041,,,,,,
2534770,Jonathan Grimes,FA,RB,28,5,NA,3.23655914,0,4.816569767,,,,,,
2495467,Taiwan Jones,FA,RB,29,6,NA,2.828618114,0,4.916360856,,,,,,
2557889,Gerald Everett,LAR,TE,23,0,9,38.79381004,13.64513032,51.88130189,,,,,,
2541316,Ryan Griffin,HOU,TE,27,4,7,38.49625264,30.52736896,43.92768385,,,,,,
2555364,Tyler Higbee,LAR,TE,24,1,9,38.31970733,22.3,48.36666772,,,,,,
2553830,Will Tye,NYG,TE,NA,NA,8,38.264357,3.093179724,50.38212856,,,,,,
89798,Antone Smith,FA,RB,32,8,NA,2.589247312,0,3.853255814,,,,,,
2539291,Markus Wheaton,CHI,WR,26,4,9,60.17266952,26.64577262,84.81809217,,,,,,
2539303,Zach Line,FA,RB,27,4,NA,2.12688172,0,3.165174419,,,,,,
2552397,Clive Walford,OAK,TE,26,2,10,37.04952579,24.32380655,48.69758108,,,,,,
2539995,Mychal Rivera,JAC,TE,27,4,8,36.99839077,0,48.5860068,,,,,,
2558846,Mike Williams,LAC,WR,23,0,8,59.59287889,1.804156379,102.814197,,,,,,
2558178,Zane Gonzalez,CLE,K,NA,0,9,74.16727559,0.1,100.7246,,,,,,
2556365,Seth DeValve,CLE,TE,24,1,9,35.47401669,23.632,47.18988282,,,,,,
2553895,Adam Humphries,TB,WR,NA,NA,11,57.87730669,33.13163662,77.03718897,,,,,,
